,id,name,head_sha,event,status,conclusion,created_at,updated_at,jobs_url,organization,repo,repo_url,actions_url
0,1103035131,CI,f2b7f984f476072c64fe6394b8e010968c68137c,pull_request,completed,action_required,2021-08-05T21:41:33Z,2021-08-05T21:41:33Z,https://api.github.com/repos/tensorflow/models/actions/runs/1103035131/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
1,1101386579,CI,3a8c553037aaa88e0c28cf80d6e656c85e1c7cfb,pull_request,completed,action_required,2021-08-05T12:11:56Z,2021-08-05T12:11:56Z,https://api.github.com/repos/tensorflow/models/actions/runs/1101386579/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
2,1098624189,CI,4a1005baebbd3799b8dc32c394ff01a3fe0e13cf,pull_request,completed,success,2021-08-04T17:34:49Z,2021-08-04T17:35:29Z,https://api.github.com/repos/tensorflow/models/actions/runs/1098624189/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
3,1098485621,CI,39f641c34c67aac955947cd1bca67fd387ba8df0,pull_request,completed,success,2021-08-04T16:45:09Z,2021-08-04T16:45:50Z,https://api.github.com/repos/tensorflow/models/actions/runs/1098485621/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
4,1095396835,CI,1d4c5e6d37b1a0a13b8e2e76769ceac67c28ad98,pull_request,completed,success,2021-08-03T20:53:17Z,2021-08-03T20:54:06Z,https://api.github.com/repos/tensorflow/models/actions/runs/1095396835/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
5,1095393417,CI,d2fb2c307a354b4dc9b37e22a78d4e2d38543b12,pull_request,completed,success,2021-08-03T20:52:05Z,2021-08-03T20:52:50Z,https://api.github.com/repos/tensorflow/models/actions/runs/1095393417/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
6,1095388433,CI,7db2e5151dfa5bb3e5e39ea95fb567222d640d60,pull_request,completed,success,2021-08-03T20:49:57Z,2021-08-03T20:50:46Z,https://api.github.com/repos/tensorflow/models/actions/runs/1095388433/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
7,1081352637,CI,abe58a894980b88e082d9473e0e8aad4ecc0a50c,pull_request,completed,success,2021-07-30T07:05:05Z,2021-07-30T07:05:46Z,https://api.github.com/repos/tensorflow/models/actions/runs/1081352637/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
8,1077543749,CI,b086522019da7228721eff2af3ae46c59042e476,pull_request,completed,success,2021-07-29T06:18:28Z,2021-07-29T06:19:10Z,https://api.github.com/repos/tensorflow/models/actions/runs/1077543749/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
9,1075939849,CI,b9afb6264fafff6df201e88566a411ed9887259d,pull_request,completed,success,2021-07-28T18:24:11Z,2021-07-28T18:24:55Z,https://api.github.com/repos/tensorflow/models/actions/runs/1075939849/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
10,1075895361,CI,ce16b37d3de2cb153ecdcc3a41f7bf2b7fbc6da4,pull_request,completed,success,2021-07-28T18:09:24Z,2021-07-28T18:10:06Z,https://api.github.com/repos/tensorflow/models/actions/runs/1075895361/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
11,1073856205,CI,f44d4a95ddd147956ce1f09cd0e63d18d0ba1a9b,pull_request,completed,success,2021-07-28T06:18:44Z,2021-07-28T06:19:22Z,https://api.github.com/repos/tensorflow/models/actions/runs/1073856205/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
12,1073839742,CI,1c70a016b3edfec6581c5da8675e5c9097894a9e,pull_request,completed,success,2021-07-28T06:12:06Z,2021-07-28T06:12:49Z,https://api.github.com/repos/tensorflow/models/actions/runs/1073839742/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
13,1073713719,CI,9fce03c9cc8c0d895800d044589eeb2d5bb93f48,pull_request,completed,success,2021-07-28T05:09:41Z,2021-07-28T05:10:22Z,https://api.github.com/repos/tensorflow/models/actions/runs/1073713719/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
14,1073713586,CI,9fce03c9cc8c0d895800d044589eeb2d5bb93f48,pull_request,completed,success,2021-07-28T05:09:39Z,2021-07-28T05:10:20Z,https://api.github.com/repos/tensorflow/models/actions/runs/1073713586/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
15,1072051336,CI,0454c7563b9f7859dc452aecfe3b56a8677cace5,pull_request,completed,success,2021-07-27T17:11:16Z,2021-07-27T17:12:04Z,https://api.github.com/repos/tensorflow/models/actions/runs/1072051336/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
16,1070223535,CI,cb9d1f089bdf64d4e76c0204856f648ede47b77f,pull_request,completed,success,2021-07-27T07:07:31Z,2021-07-27T07:08:08Z,https://api.github.com/repos/tensorflow/models/actions/runs/1070223535/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
17,1070220566,CI,e1c3ba48b92f70fee659e0c4d8d2ba8268e9cbd4,pull_request,completed,success,2021-07-27T07:06:29Z,2021-07-27T07:08:30Z,https://api.github.com/repos/tensorflow/models/actions/runs/1070220566/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
18,1066646931,CI,2ab8af9fe61652489539e7d2c4c7fefc28d10c62,pull_request,completed,success,2021-07-26T08:02:38Z,2021-07-26T08:03:29Z,https://api.github.com/repos/tensorflow/models/actions/runs/1066646931/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
19,1064102242,CI,59ad734af0bd500e1eabd157c5a0138c07731a38,pull_request,completed,success,2021-07-25T07:05:25Z,2021-07-25T07:06:05Z,https://api.github.com/repos/tensorflow/models/actions/runs/1064102242/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
20,1064101102,CI,a3d4144e0345d0aa7b78d1722da4d4cade968b80,pull_request,completed,success,2021-07-25T07:04:46Z,2021-07-25T07:05:28Z,https://api.github.com/repos/tensorflow/models/actions/runs/1064101102/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
21,1061993586,CI,64611302d301c98acc5c834f005f2a987924d6c1,pull_request,completed,success,2021-07-24T07:04:52Z,2021-07-24T07:05:34Z,https://api.github.com/repos/tensorflow/models/actions/runs/1061993586/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
22,1061992650,CI,1edee2b2ee604d6978ea8f9583a0072a23baead2,pull_request,completed,success,2021-07-24T07:04:21Z,2021-07-24T07:04:55Z,https://api.github.com/repos/tensorflow/models/actions/runs/1061992650/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
23,1058839868,CI,bf1868b6da7dea871a0ed5dea40017bb52878994,pull_request,completed,success,2021-07-23T07:05:38Z,2021-07-23T07:06:22Z,https://api.github.com/repos/tensorflow/models/actions/runs/1058839868/jobs,tensorflow,models,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models/actions/runs
